x,y,z,psi,phi,theta,linear_vel_x,linear_vel_y,linear_vel_z,angular_vel_x,angular_vel_y,angular_vel_z,mode
-9.802531171650784,11.651787448606777,1.765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unicycle
-9.802530544450782,11.65178744860688,1.765,0.0,0.0,3.1943506638179994e-07,3.136e-05,0.0,0.0,0.0,0.0,1.5971753319089996e-05,omni
-9.802527698207584,11.651787448608944,1.765,0.0,0.0,1.1301661541710484e-06,0.00014231216,0.0,0.0,0.0,0.0,4.053655438946244e-05,unicycle
-9.802520427025321,11.651787448622407,1.765,0.0,0.0,2.5730645445914417e-06,0.00036355911296,0.0,0.0,0.0,0.0,7.214491952101969e-05,omni
-9.802506169785708,11.651787448674167,1.765,0.0,0.0,4.688164406206531e-06,0.0007128619805177599,0.0,0.0,0.0,0.0,0.00010575499308075454,unicycle
-9.802482198300822,11.651787448820496,1.765,0.0,0.0,7.5204717580788e-06,0.0011985742441581462,0.0,0.0,0.0,0.0,0.00014161536759361363,omni
-9.802445751362505,11.651787449158764,1.765,0.0,0.0,1.1041729066816357e-05,0.0018223469158887584,0.0,0.0,0.0,0.0,0.00017606286543687797,unicycle
-9.802394127674136,11.651787449837393,1.765,0.0,0.0,1.5249561869983048e-05,0.0025811844186437115,0.0,0.0,0.0,0.0,0.0002103916401583348,omni
-9.802324747801194,11.651787451063116,1.765,0.0,0.0,2.0084139187032752e-05,0.0034689936476658863,0.0,0.0,0.0,0.0,0.00024172886585248512,unicycle
-9.802235193019461,11.651787453105298,1.765,0.0,0.0,2.552326892227674e-05,0.004477739087786986,0.0,0.0,0.0,0.0,0.0002719564867621993,omni
-9.802123227155779,11.651787456297402,1.765,0.0,0.0,3.1495990064320054e-05,0.005598293186441216,0.0,0.0,0.0,0.0,0.000298636057102166,unicycle
-9.801986806110335,11.651787461036074,1.765,0.0,0.0,3.79752667400761e-05,0.006821052276433559,0.0,0.0,0.0,0.0,0.0003239638337878025,omni
-9.80182407864501,11.65178746777828,1.765,0.0,0.0,4.48897542717864e-05,0.008136373273193945,0.0,0.0,0.0,0.0,0.00034572437658551456,unicycle
-9.801633381157556,11.651787477037109,1.765,0.0,0.0,5.2215130279795375e-05,0.009534874384003394,0.0,0.0,0.0,0.0,0.0003662688004004491,omni
-9.801413228486865,11.651787489376657,1.765,0.0,0.0,5.9884775140720895e-05,0.011007633551825893,0.0,0.0,0.0,0.0,0.00038348224304627634,unicycle
-9.801162302270942,11.651787505406473,1.765,0.0,0.0,6.78803922874721e-05,0.012546310821835752,0.0,0.0,0.0,0.0,0.00039978085733756024,omni
-9.80087943797432,11.651787525775875,1.765,0.0,0.0,7.614202946045498e-05,0.014143214867762623,0.0,0.0,0.0,0.0,0.00041308185864914526,unicycle
-9.800563611390777,11.6517875511684,1.765,0.0,0.0,8.465839838962813e-05,0.01579132922831776,0.0,0.0,0.0,0.0,0.00042581844645865705,omni
-9.800213925189677,11.651787582296569,1.765,0.0,0.0,9.337646845271882e-05,0.017484310124295827,0.0,0.0,0.0,0.0,0.00043590350315453346,unicycle
-9.799829595894556,11.651787619897084,1.765,0.0,0.0,0.00010229174585084886,0.019216464848130735,0.0,0.0,0.0,0.0,0.00044576386990650155,omni
-9.799409941547466,11.651787664726513,1.765,0.0,0.0,0.00011135755204181169,0.020982717474249984,0.0,0.0,0.0,0.0,0.0004532903095481404,unicycle
-9.798954370212572,11.651787717557523,1.765,0.0,0.0,0.00012057543056828108,0.022778566898025102,0.0,0.0,0.0,0.0,0.0004608939263234685,omni
-9.798462369399079,11.651787779175601,1.765,0.0,0.0,0.00012990415079514492,0.0246000408675415,0.0,0.0,0.0,0.0,0.00046643601134318993,unicycle
-9.797933496431048,11.651787850376316,1.765,0.0,0.0,0.0001393503550602652,0.026443648641293303,0.0,0.0,0.0,0.0,0.00047231021325601624,omni
-9.79736736975455,11.651787931962996,1.765,0.0,0.0,0.0001488772858731248,0.02830633411893499,0.0,0.0,0.0,0.0,0.0004763465406429806,unicycle
-9.796763661147724,11.651788024744873,1.765,0.0,0.0,0.00015849575322244506,0.03018543069789326,0.0,0.0,0.0,0.0,0.0004809233674660155,omni
-9.796122088783012,11.651788129535555,1.765,0.0,0.0,0.00016817255912206005,0.03207861866353373,0.0,0.0,0.0,0.0,0.0004838402949807494,unicycle
-9.795442411081366,11.651788247151881,1.765,0.0,0.0,0.00017792184597964782,0.03398388559112687,0.0,0.0,0.0,0.0,0.0004874643428793863,omni
-9.794724421293415,11.651788378412988,1.765,0.0,0.0,0.00018771317905850657,0.0358994899975883,0.0,0.0,0.0,0.0,0.0004895666539429397,unicycle
-9.793967942741272,11.651788524139695,1.765,0.0,0.0,0.00019756332628943313,0.037823928309052304,0.0,0.0,0.0,0.0,0.0004925073615463274,omni
-9.79317282465577,11.651788685154003,1.765,0.0,0.0,0.00020744395240290448,0.0397559050904448,0.0,0.0,0.0,0.0,0.000494031305673567,unicycle
-9.792338938546532,11.651788862278849,1.765,0.0,0.0,0.0002173738750288796,0.04169430640259761,0.0,0.0,0.0,0.0,0.000496496131298758,omni
-9.791466175046088,11.651789056337904,1.765,0.0,0.0,0.00022732632120188364,0.043638176101165556,0.0,0.0,0.0,0.0,0.0004976223086502032,unicycle
-9.790554441173457,11.651789268155579,1.765,0.0,0.0,0.00023732170193456492,0.045586694861988464,0.0,0.0,0.0,0.0,0.0004997690366340641,omni
-9.789603657967305,11.651789498557015,1.765,0.0,0.0,0.00024733438084430844,0.047539161703663436,0.0,0.0,0.0,0.0,0.0005006339454871741,unicycle
-9.78861375844332,11.651789748368259,1.765,0.0,0.0,0.0002573860083276666,0.049494977775428765,0.0,0.0,0.0,0.0,0.0005025813741679032,omni
-9.787584685835087,11.651790018416346,1.765,0.0,0.0,0.0002674517522094662,0.05145363218356728,0.0,0.0,0.0,0.0,0.0005032871940899861,unicycle
-9.786516392081959,11.651790309529597,1.765,0.0,0.0,0.0002775542324255903,0.05341468963982083,0.0,0.0,0.0,0.0,0.0005051240108062025,omni
-9.785408836531616,11.65179062253776,1.765,0.0,0.0,0.0002876691642770066,0.055377779728834495,0.0,0.0,0.0,0.0,0.0005057465925708139,unicycle
-9.784261984828621,11.651790958272354,1.765,0.0,0.0,0.0002978199347055756,0.05734258760699682,0.0,0.0,0.0,0.0,0.0005075385214284493,omni
-9.783075807963819,11.651791317566845,1.765,0.0,0.0,0.00030798260962160064,0.05930884596117915,0.0,0.0,0.0,0.0,0.0005081337458012576,unicycle
-9.781850281462445,11.651791701257025,1.765,0.0,0.0,0.0003181811931832436,0.061276328072073546,0.0,0.0,0.0,0.0,0.0005099291780821472,omni
-9.780585384691697,11.65179211018118,1.765,0.0,0.0,0.000328391951583862,0.06324484184258101,0.0,0.0,0.0,0.0,0.0005105379200309186,unicycle
-9.779281100270909,11.651792545180493,1.765,0.0,0.0,0.00033863939708815035,0.06521422466667892,0.0,0.0,0.0,0.0,0.0005123722752144173,omni
-9.777937413569749,11.651793007099203,1.765,0.0,0.0,0.000348899881529948,0.06718433902819398,0.0,0.0,0.0,0.0,0.0005130242220898855,unicycle
-9.776554312281805,11.65179349678501,1.765,0.0,0.0,0.00035919834715311834,0.06915506873181416,0.0,0.0,0.0,0.0,0.0005149232811585134,omni
-9.775131786062625,11.65179401508921,1.765,0.0,0.0,0.00036951114384704614,0.071126315680446,0.0,0.0,0.0,0.0,0.0005156398346963963,unicycle
-9.77366982622278,11.651794562867119,1.765,0.0,0.0,0.0003798635890615865,0.07309799712366724,0.0,0.0,0.0,0.0,0.0005176222607270167,omni
-9.772168425467855,11.651795140978168,1.765,0.0,0.0,0.0003902319634886034,0.07507004331157502,0.0,0.0,0.0,0.0,0.0005184187213508429,unicycle
-9.770627577678397,11.651795750286338,1.765,0.0,0.0,0.0004006419224627852,0.07704239549684486,0.0,0.0,0.0,0.0,0.0005204979487090932,omni
-9.769047277723852,11.651796391660234,1.765,0.0,0.0,0.00041106962538932677,0.07901500423536578,0.0,0.0,0.0,0.0,0.0005213851463270779,unicycle
-9.76731838838779,11.651797111406129,1.765,0.0,0.0,0.0004215410411110208,0.08644447429421706,0.0,0.0,0.0,0.0,0.0005235707860846996,omni
-9.765320735896383,11.651799342800116,1.765,0.0,0.0,0.0004320321668964064,0.09988266309070849,6.894112433052624e-05,0.0,0.0,0.0,0.0005245562892692847,unicycle
-9.762974377821454,11.651803868337295,1.765,0.0,0.0,0.0004425693828951825,0.11731799148052485,0.00017497362877216637,0.0,0.0,0.0,0.0005268607999388013,omni
-9.760240459427079,11.651811333907968,1.765,0.0,0.0,0.00045312855227696045,0.13669607318336402,0.0003120593718182916,0.0,0.0,0.0,0.0005279584690888982,unicycle
-9.757098367004955,11.651821937049874,1.765,0.0,0.0,0.0004637369170588756,0.15710484763960939,0.00045813514100505066,0.0,0.0,0.0,0.0005304182390957525,omni
-9.753551717557517,11.65183590091163,1.765,0.0,0.0,0.00047437041385773503,0.17733278035524397,0.0006150145678852045,0.0,0.0,0.0,0.0005316748399429741,unicycle
-9.749609536893548,11.651853118217618,1.765,0.0,0.0,0.0004850574060476018,0.19710942348866356,0.0007663092589179184,0.0,0.0,0.0,0.0005343496094933431,omni
-9.745295393810816,11.651873603806028,1.765,0.0,0.0,0.0004957739585063716,0.2157076305207452,0.0009184931304566495,0.0,0.0,0.0,0.0005358276229384881,unicycle
-9.740631024419452,11.651897107842776,1.765,0.0,0.0,0.0005065495882105256,0.2332190292475936,0.0010583215130349957,0.0,0.0,0.0,0.0005387814852076997,omni
-9.73564736096966,11.651923558772769,1.765,0.0,0.0,0.0005173603911834599,0.2491838169198432,0.0011949757633661507,0.0,0.0,0.0,0.0005405401486467201,unicycle
-9.730369615317155,11.6519526544955,1.765,0.0,0.0,0.0005282369091520343,0.26388800712405674,0.001316826028747502,0.0,0.0,0.0,0.0005438258984287225,omni
-9.724829425091125,11.65198430306702,1.765,0.0,0.0,0.0005391550811386876,0.27701031638820706,0.0014345894907849168,0.0,0.0,0.0,0.0005459085993326639,unicycle
-9.719050786099382,11.652018197407427,1.765,0.0,0.0,0.0005501462641952219,0.28893282976226453,0.0015373497961378747,0.0,0.0,0.0,0.0005495591528267059,omni
-9.713062838517159,11.652054258201874,1.765,0.0,0.0,0.0005611860232867151,0.2993983347790504,0.0016366744653824915,0.0,0.0,0.0,0.0005519879545746538,unicycle
-9.70688627631068,11.6520921956829,1.765,0.0,0.0,0.0005723063040867995,0.3088291357735864,0.0017218466093369626,0.0,0.0,0.0,0.0005560140400042336,omni
-9.700546484953051,11.652131957343242,1.765,0.0,0.0,0.0005834820958288545,0.3169906638535215,0.0018048962625389858,0.0,0.0,0.0,0.0005587895871027447,unicycle
-9.694060205209741,11.652173279042048,1.765,0.0,0.0,0.0005947457285273011,0.32431514804920913,0.0018750267110951785,0.0,0.0,0.0,0.0005631816349223394,omni
-9.687448851549503,11.652216138989823,1.765,0.0,0.0,0.0006060714539542184,0.33056891010429723,0.00194452133752488,0.0,0.0,0.0,0.0005662862713458565,unicycle
-9.680725300106692,11.652260299611285,1.765,0.0,0.0,0.0006174918241309699,0.33617886006344366,0.0020023634066200246,0.0,0.0,0.0,0.0005710185088375873,omni
-9.673907289379976,11.652305768549601,1.765,0.0,0.0,0.0006289802406355669,0.3409018870248408,0.0020609849902534687,0.0,0.0,0.0,0.0005744208252298389,unicycle
-9.667004258698933,11.652352332210532,1.765,0.0,0.0,0.0006405693624812002,0.34515294238836935,0.0021090890957944962,0.0,0.0,0.0,0.0005794560922816656,omni
-9.660030776709213,11.652400024099618,1.765,0.0,0.0,0.0006522316762299019,0.3486755680470404,0.0021592108528871133,0.0,0.0,0.0,0.0005831156874350888,unicycle
-9.652993390619416,11.652448650660867,1.765,0.0,0.0,0.0006639998770414198,0.3518708283868959,0.002199756812045428,0.0,0.0,0.0,0.0005884100405758967,omni
-9.645904054072975,11.652498267003105,1.765,0.0,0.0,0.0006758455129179823,0.3544684097379287,0.002243351200798444,0.0,0.0,0.0,0.0005922817938281233,unicycle
-9.638766967392204,11.652548695459124,1.765,0.0,0.0,0.0006878012811028616,0.356855970257798,0.0022781105995052457,0.0,0.0,0.0,0.0005977884092439593,omni
-9.631591991554576,11.652600008609525,1.765,0.0,0.0,0.0006998377998881702,0.3587504856386238,0.00231675000058238,0.0,0.0,0.0,0.0006018259392654242,unicycle
-9.624381471009121,11.652652040877893,1.765,0.0,0.0,0.0007119877625524656,0.36052777395964974,0.002347112860777667,0.0,0.0,0.0,0.000607498133214779,omni
-9.617143628913908,11.652704878679522,1.765,0.0,0.0,0.0007242208898641549,0.3618939086063193,0.002382013136549216,0.0,0.0,0.0,0.0006116563655844641,unicycle
-9.60987937028564,11.652758365305019,1.765,0.0,0.0,0.0007365698846510584,0.36321478785183425,0.002409041535395574,0.0,0.0,0.0,0.0006174497393451714,omni
-9.602595658109143,11.652812597980478,1.765,0.0,0.0,0.0007490036175928556,0.3641875225262431,0.002441120804607071,0.0,0.0,0.0,0.0006216866470898578,unicycle
-9.595292297715025,11.652867426256893,1.765,0.0,0.0,0.0007615548268640583,0.3651699860865075,0.002465609247192799,0.0,0.0,0.0,0.0006275604635601294,omni
-9.587975295506139,11.652922955751004,1.765,0.0,0.0,0.0007741915891159537,0.36585213456902843,0.0024955474165925823,0.0,0.0,0.0,0.0006318381125947749,unicycle
-9.580643626843397,11.65297904023922,1.765,0.0,0.0,0.0007869467101606172,0.36658551035292636,0.0025180798668405016,0.0,0.0,0.0,0.0006377560522331697,omni
-9.57330257996359,11.653035791844214,1.765,0.0,0.0,0.0007997875322443709,0.3670544797183209,0.0025463721258002815,0.0,0.0,0.0,0.0006420411041876862,unicycle
-9.56595051007754,11.653093067022597,1.765,0.0,0.0,0.0008127469632939441,0.3676056837763718,0.002567371362864444,0.0,0.0,0.0,0.0006479715524786686,omni
-9.55859217118645,11.653150982965192,1.765,0.0,0.0,0.0008257916707105554,0.3679191935212376,0.0025943731277667517,0.0,0.0,0.0,0.0006522353708305604,unicycle
-9.551225459026082,11.653209397663021,1.765,0.0,0.0,0.0008389546982026183,0.3683379115624177,0.0026141412320904427,0.0,0.0,0.0,0.0006581513746031428,omni
-9.54385473328053,11.653268432295508,1.765,0.0,0.0,0.0008522020954046658,0.3685386514482474,0.0026401042832527206,0.0,0.0,0.0,0.0006623698601023657,unicycle
-9.536477551710048,11.653327945557036,1.765,0.0,0.0,0.0008655670727401917,0.36886149822707565,0.0026588546415633263,0.0,0.0,0.0,0.0006682488667763022,omni
-9.529097984913221,11.653388061814923,1.765,0.0,0.0,0.0008790151152104976,0.3689808214112199,0.0026839552718673247,0.0,0.0,0.0,0.0006724021235152975,unicycle
-9.521713343603427,11.653448639877421,1.765,0.0,0.0,0.000892579627057139,0.36923460363007227,0.0027018371864897892,0.0,0.0,0.0,0.000678225592332064,omni
-9.514327487691508,11.653509806711188,1.765,0.0,0.0,0.0009062255770867319,0.3692953969137751,0.0027261975949623915,0.0,0.0,0.0,0.0006822975014796444,unicycle
-9.506937548304464,11.65357142083037,1.765,0.0,0.0,0.0009199865861387573,0.36949962832973027,0.0027433147918453195,0.0,0.0,0.0,0.0006880504526012744,omni
-9.499547232605192,11.653633611370834,1.765,0.0,0.0,0.0009338271503250083,0.36951850847213785,0.0027670190175709056,0.0,0.0,0.0,0.000692028209312547,unicycle
-9.492153541813256,11.653696236278567,1.765,0.0,0.0,0.000947781125464761,0.36968732188180126,0.002783443307618451,0.0,0.0,0.0,0.0006976987569876352,omni
-9.484760072869191,11.653759426544973,1.765,0.0,0.0,0.0009618125736309782,0.36967629539515423,0.0028065488910500812,0.0,0.0,0.0,0.0007015724083108655,unicycle
-9.477363733434581,11.653823039371044,1.765,0.0,0.0,0.0009759555998025019,0.3698198798255784,0.002822330087848857,0.0,0.0,0.0,0.000707151308576179,omni
-9.469968041252077,11.653887207374444,1.765,0.0,0.0,0.0009901738661302927,0.36978758450988125,0.0028448764702716563,0.0,0.0,0.0,0.0007109133163895334,unicycle
-9.462569836871682,11.653951786903825,1.765,0.0,0.0,0.0010045017370864126,0.36991325543109704,0.0028600494797053214,0.0,0.0,0.0,0.0007163935478059959,omni
-9.45517258135172,11.654016912034221,1.765,0.0,0.0,0.0010189025048975456,0.3698658810774182,0.00288206396217289,0.0,0.0,0.0,0.0007200383905566578,unicycle
-9.447773067275481,11.654082438203476,1.765,0.0,0.0,0.001033410800452922,0.36997887102861693,0.0028966537747626762,0.0,0.0,0.0,0.0007254147777688188,omni
-9.440374715276779,11.65414850081781,1.765,0.0,0.0,0.001047989572402619,0.3699208371855925,0.002918155682241124,0.0,0.0,0.0,0.0007289385974848624,unicycle
-9.432974283769033,11.654214954379643,1.765,0.0,0.0,0.0010626737220293708,0.37002487586619426,0.0029321808352318493,0.0,0.0,0.0,0.0007342074813375913,omni
-9.425575164654418,11.654281935530028,1.765,0.0,0.0,0.0010774258775779703,0.3699593275907076,0.002953184381073781,0.0,0.0,0.0,0.0007376077774299582,unicycle
-9.418174092078734,11.65434929783432,1.765,0.0,0.0,0.0010922812122056047,0.37005706493921603,0.002966659320468697,0.0,0.0,0.0,0.0007427667313817403,omni
-9.410774437588358,11.65441717909271,1.765,0.0,0.0,0.0011072020541973693,0.3699862333794891,0.0029871755432733845,0.0,0.0,0.0,0.000746042099588223,unicycle
-9.403372918142056,11.654485431947116,1.765,0.0,0.0,0.0011222238479914317,0.37007954650946423,0.0030001122062496967,0.0,0.0,0.0,0.0007510896897031216,omni
